customer_id,age,gender,marital_status,city_tier,occupation,life_stage,annual_income,relationship_tenure_months,segment,fd_balance,fd_count,fd_avg_tenor_months,rd_balance,sb_balance,aqb,balance_gt_10l_flag,num_products,num_accounts,has_demat,demat_balance,has_loan,loan_outstanding,debit_txn_count_12m,credit_txn_count_12m,debit_txn_value_12m,credit_txn_value_12m,avg_monthly_txn_count,digital_txn_ratio,cibil_score,delinquency_flag,complaint_count_12m,nrv_12m,holds_3p_insurance,holds_wealth_product,has_real_feedback,feedback_channel,feedback_text,feedback_sentiment,feedback_signal,feedback_date,is_fd_base,is_eligible,cross_sell_flag,cross_sell_product,propensity_score
CUST-100000,31,M,Married,Tier-1,Professional,Young-Earner,1294000,174,Classic,589000,2,24,227900,8000,8900,0,6,5,1,2348300,1,859300,386,299,3367800,4249100,34.28,0.618,706,0,0,990400,0,0,0,,,,,,0,0,0,,0.01
CUST-100001,23,M,Married,Tier-1,Business,Young-Earner,1083600,181,Preferred,629700,2,24,124000,39500,42900,0,4,4,0,0,0,0,207,111,1899800,1085700,19.45,0.622,803,0,3,194100,1,0,0,,,,,,0,0,0,,0.01
CUST-100002,70,M,Married,Tier-1,Retired,Retiree,1867900,238,Preferred,2565100,3,18,153500,555900,572800,1,6,5,0,0,1,5182000,191,146,540600,3650600,14.61,0.76,711,0,0,968400,1,0,0,,,,,,1,0,0,,0.01
CUST-100003,39,M,Married,Tier-1,Professional,Family-Builder,2507500,191,Preferred,691800,2,12,0,507000,469000,0,4,4,1,443100,0,0,105,75,685100,444000,9.86,0.792,696,0,1,576900,0,0,0,,,,,,0,0,0,,0.01
CUST-100004,51,F,Single,Tier-3,Self-Employed,Peak-Earner,364900,80,Classic,152400,2,24,0,8000,7100,0,4,3,0,0,1,5185900,221,152,628900,3136700,16.17,0.512,779,0,0,46300,0,0,0,,,,,,0,0,0,,0.01
CUST-100005,31,F,Married,Tier-1,Salaried,Young-Earner,1252200,209,Classic,5635400,4,36,304100,1028200,775600,1,6,6,0,0,0,0,114,90,546800,600200,9.55,0.524,643,0,0,2040600,0,0,0,,,,,,1,1,0,,0.4952
CUST-100006,33,M,Married,Tier-2,Self-Employed,Family-Builder,1270800,233,Preferred,2495700,3,24,0,351300,296600,1,6,5,1,886200,1,192200,137,84,683500,1522600,14.04,0.99,829,0,0,1167100,1,0,0,,,,,,1,0,0,,0.01
CUST-100007,42,F,Married,Tier-1,Business,Peak-Earner,794600,223,Classic,6051900,3,36,348600,1029400,1103500,1,6,5,0,0,1,1461100,188,110,1847500,664100,15.12,0.431,761,0,0,2157800,1,0,0,,,,,,1,0,0,,0.01
CUST-100008,26,M,Single,Tier-2,Salaried,Young-Earner,1085100,165,Preferred,6282700,3,60,0,937000,1056000,1,4,4,0,0,0,0,162,94,724000,952600,12.05,0.71,818,0,0,2180800,1,0,0,,,,,,1,0,0,,0.01
CUST-100009,33,F,Married,Tier-1,Business,Family-Builder,825700,151,Classic,95300,1,12,0,8000,6800,0,2,2,0,0,0,0,286,105,1039500,1064800,27.8,0.249,842,0,0,30300,0,0,0,,,,,,0,0,0,,0.01
CUST-100010,23,F,Married,Tier-2,Professional,Young-Earner,684200,14,Preferred,1815900,1,18,343800,319900,360300,1,3,3,0,0,0,0,478,289,3469000,4512000,32.93,0.229,705,0,1,652400,0,1,0,,,,,,1,0,0,,0.01
CUST-100011,33,F,Married,Tier-2,Professional,Family-Builder,1230100,204,Classic,3403700,3,60,82300,471400,409100,1,7,6,1,2241900,1,3481200,241,98,1213500,1342900,19.91,0.485,639,0,0,1949800,0,0,0,,,,,,1,1,0,,0.4183
CUST-100012,50,M,Married,Tier-1,Salaried,Peak-Earner,1882300,123,Classic,2596200,2,24,0,571400,436900,1,4,4,1,1948500,0,0,281,220,1865800,4219100,21.13,0.672,708,0,1,1666000,0,1,0,,,,,,1,0,0,,0.01
CUST-100013,41,F,Married,Tier-1,Self-Employed,Family-Builder,1694300,86,Classic,4596500,2,24,0,705500,560700,1,4,3,0,0,1,3038700,36,29,155600,719000,3,0.934,777,0,0,1604500,0,0,0,,,,,,1,1,0,,0.5457
CUST-100014,42,M,Married,Tier-1,Salaried,Peak-Earner,2098600,36,Preferred,4577300,3,18,309000,526700,307500,1,6,6,1,996900,0,0,179,114,1353300,1706700,14.88,0.956,796,0,0,1867600,0,1,0,,,,,,1,0,0,,0.01
CUST-100015,39,F,Married,Tier-1,Salaried,Family-Builder,776300,97,Preferred,3818100,3,60,87000,604800,411200,1,5,5,0,0,0,0,118,61,754000,751100,12.39,0.763,875,0,0,1341200,1,0,0,,,,,,1,0,0,,0.01
CUST-100016,45,M,Married,Tier-1,Business,Peak-Earner,1510700,142,Classic,1599600,1,60,207100,405800,252000,1,3,3,0,0,0,0,132,81,1345800,718000,13.18,0.413,726,0,2,630500,0,0,0,,,,,,1,1,0,,0.2995
CUST-100017,37,M,Married,Tier-2,Business,Family-Builder,1463100,195,Classic,5626300,4,12,405600,1232100,1327700,1,8,7,1,1459400,1,4780900,201,76,895400,969600,17.43,0.504,800,0,0,2640600,0,0,1,Complaint,Asked over SMS for details on a family floater plan after a relative's hospitalisation.,positive,protection_intent,2026-03-21,1,1,0,,0.8849
CUST-100018,57,F,Married,Tier-1,Professional,Pre-Retiree,991200,80,Preferred,4657200,2,12,390600,646000,501200,1,6,5,1,1808600,1,4356000,285,114,1835000,1941100,20.7,0.824,710,0,0,2227700,0,0,0,,,,,,1,1,0,,0.572
CUST-100019,47,M,Married,Tier-2,Professional,Peak-Earner,864800,88,Classic,2461700,2,12,58700,422200,369200,1,5,4,0,0,1,1067900,277,126,2336200,2480400,29.59,0.706,764,0,0,879300,0,0,0,,,,,,1,1,0,,0.6288
CUST-100020,31,M,Single,Tier-2,Self-Employed,Young-Earner,1482900,142,Preferred,887600,2,12,115000,69900,76800,0,5,4,0,0,1,3711400,498,388,4857200,8806900,37.03,0.65,806,0,0,280000,0,1,0,,,,,,0,0,0,,0.01
CUST-100021,59,M,Married,Tier-2,Salaried,Pre-Retiree,482300,108,Classic,5795800,3,18,0,715500,756700,1,4,4,0,0,0,0,413,303,2692000,1725500,29.87,0.753,758,0,2,1944800,0,0,1,Complaint,Asked whether the bank offers a guaranteed pension scheme.,positive,retirement_intent,2025-09-28,1,1,0,,0.8255
CUST-100022,33,M,Married,Tier-3,Business,Family-Builder,852600,128,Classic,11950000,4,36,126200,1881800,2029100,1,7,6,0,0,1,3916800,279,148,2511100,2864500,24.75,0.549,809,0,0,4192800,0,0,0,,,,,,1,1,0,,0.6499
CUST-100023,58,F,Married,Tier-1,Self-Employed,Pre-Retiree,1356800,209,Preferred,1441700,1,24,359000,217700,233800,1,4,3,0,0,1,2411700,131,94,865400,2182300,11.54,0.641,622,0,0,501600,0,1,0,,,,,,1,0,0,,0.01
CUST-100024,57,F,Married,Tier-2,Salaried,Pre-Retiree,826200,99,Preferred,2827300,3,18,0,23600,21500,1,5,5,1,927800,0,0,195,93,1251600,698800,15.58,0.701,838,0,2,1127000,0,0,0,,,,,,1,1,0,,0.3949
CUST-100025,37,M,Married,Tier-1,Business,Family-Builder,624700,230,Classic,8586300,3,18,0,1375600,1345200,1,5,4,0,0,1,1258500,156,62,1187300,1242900,11.84,0.549,839,0,0,3023200,0,1,0,,,,,,1,0,0,,0.01
CUST-100026,56,F,Married,Tier-1,Self-Employed,Pre-Retiree,767700,213,Classic,771000,1,60,0,81900,65600,0,3,3,1,206700,0,0,221,140,564300,3049700,16.61,0.62,786,0,0,325100,0,0,0,,,,,,0,0,0,,0.01
CUST-100027,35,F,Married,Tier-2,Business,Family-Builder,1226500,15,Classic,822600,1,36,156700,8000,9100,0,3,3,0,0,0,0,86,37,713400,794100,6.93,0.734,731,0,0,233900,0,0,1,Complaint,Called to ask whether the bank offers a health policy that covers dependent parents.,positive,protection_intent,2026-02-09,0,0,0,,0.01
CUST-100028,47,M,Married,Tier-3,Salaried,Peak-Earner,300000,196,Preferred,226600,2,12,0,8000,6000,0,5,4,1,1883500,1,4078700,351,197,1489000,2702100,25.78,0.58,824,0,1,726300,0,0,0,,,,,,0,0,0,,0.01
CUST-100029,59,M,Married,Tier-2,Professional,Pre-Retiree,945400,89,Classic,269100,1,12,367300,238800,136700,0,3,3,0,0,0,0,202,97,1945400,622600,19.66,0.446,705,0,0,182800,0,0,0,,,,,,0,0,0,,0.01
CUST-100030,31,M,Married,Tier-1,Self-Employed,Young-Earner,1690400,160,Classic,2933800,3,24,0,198600,214000,1,6,5,1,2325400,1,871600,274,198,1037500,3107600,18.45,0.545,729,0,2,1724700,0,0,0,,,,,,1,1,0,,0.3383
CUST-100031,72,M,Married,Tier-1,Retired,Retiree,714200,235,Imperia,273900,2,12,268700,248900,218100,0,4,4,0,0,0,0,325,162,3538700,1679700,22.71,0.99,769,0,2,188700,0,1,0,,,,,,0,0,0,,0.01
CUST-100032,45,M,Married,Tier-1,Self-Employed,Peak-Earner,1744500,31,Classic,950600,2,60,235600,8000,6000,0,5,4,0,0,1,5109400,141,115,1192500,2830200,9.79,0.86,693,0,0,269800,0,1,0,,,,,,0,0,0,,0.01
CUST-100033,34,M,Married,Tier-1,Self-Employed,Family-Builder,1017400,234,Classic,5859700,4,60,0,946100,619200,1,6,6,1,1069200,0,0,105,70,441200,1426000,8.09,0.836,798,0,0,2440700,0,0,0,,,,,,1,1,1,Mutual-Fund,0.7694
CUST-100034,52,F,Married,Tier-2,Salaried,Peak-Earner,1076400,136,Classic,3873000,3,36,380000,559100,475400,1,6,5,0,0,1,2868300,131,50,1408500,1157300,10.76,0.606,757,0,0,1336000,0,0,0,,,,,,1,1,0,,0.5141
CUST-100035,48,M,Married,Tier-1,Self-Employed,Peak-Earner,1840400,209,Preferred,928700,1,24,148500,8000,6000,0,3,3,0,0,0,0,275,156,1762700,1399300,21.54,0.617,767,0,0,263600,0,0,0,,,,,,0,0,0,,0.01
CUST-100036,55,M,Married,Tier-1,Self-Employed,Pre-Retiree,977000,239,Classic,985400,1,60,0,281200,273400,0,3,3,1,1756700,0,0,280,105,831300,2097200,21.77,0.481,683,0,0,1017300,0,0,0,,,,,,0,0,0,,0.01
CUST-100037,36,F,Married,Tier-3,Business,Family-Builder,1005700,117,Classic,1310300,1,18,87300,339200,362100,1,4,3,0,0,1,5035800,244,106,1981200,942100,25.69,0.893,846,0,0,519500,1,0,0,,,,,,1,0,0,,0.01
CUST-100038,51,M,Married,Tier-3,Business,Peak-Earner,905500,198,Classic,983800,1,12,0,278000,224500,0,3,3,1,303400,0,0,192,127,1984100,1215900,14.82,0.694,700,0,0,506800,1,0,0,,,,,,0,0,0,,0.01
CUST-100039,59,F,Married,Tier-2,Salaried,Pre-Retiree,1620800,41,Classic,2202800,3,36,0,458500,386300,1,6,5,1,1494600,1,892300,398,202,2501600,5192100,31.67,0.99,686,0,0,1346200,0,0,0,,,,,,1,1,0,,0.5163
CUST-100040,52,F,Married,Tier-3,Salaried,Peak-Earner,309400,89,Preferred,697800,1,36,405900,141000,152900,0,3,3,0,0,0,0,160,67,1583000,1402700,15.19,0.566,755,0,0,258800,1,1,1,Complaint,Wanted to know how to generate regular income after retiring next year.,positive,retirement_intent,2026-03-14,0,0,0,,0.01
CUST-100041,27,F,Single,Tier-1,Salaried,Young-Earner,1550900,127,Preferred,760300,1,24,0,64500,60400,0,2,2,0,0,0,0,226,88,1950200,1473700,21.29,0.959,815,0,0,241900,1,1,0,,,,,,0,0,0,,0.01
CUST-100042,34,M,Married,Tier-1,Self-Employed,Family-Builder,1455100,120,Preferred,4127500,3,24,409200,818100,758800,1,6,5,0,0,1,2516400,150,111,1469300,1344200,12.75,0.853,821,0,0,1523800,0,1,0,,,,,,1,0,0,,0.01
CUST-100043,46,F,Married,Tier-1,Professional,Peak-Earner,1283700,29,Classic,1694700,1,60,288900,759200,501200,1,5,4,1,1299300,1,3946400,218,184,2203300,4729400,19.49,0.524,774,0,0,1270900,0,1,0,,,,,,1,0,0,,0.01
